gene_code,T_cac14,T_cac5,T_cac10,T_cac13,T_cac16,T_cac4,T_cac9,T_cac8,T_cac3,T_cac6,T_cac2,T_cac7,T_cac11,T_cac12,T_cac1
ENSG00000094975,4538.541,361.0121,2257.547,2175.625,1994.196,1009.585,2476.952,3989.638,2296.006,1748.336,2824.287,1736.854,1539.355,1502.194,3584.876
ENSG00000197779,203.00048,29.00004583,282.9792011,141.4996663,163.50534,155.97102,148.99998,274.0005,204.50002,149.500861,211.00022,127,136.4999,176.4835009,259.439803
ENSG00000146013,19,3,10,2,5,18.99995,18,19,1,1,22,11,7,4,7
ENSG00000161664,104.624,20.47300041,50.4859,40.56216656,95.2352,116.607,95.5218,25.1006,70.8381,80.4757,45.3126,40.7011,35.4479,94.9149,55.3833
ENSG00000119705,819.2792,234.22298,1090.9292,484.19173,791.59368,593.5202,847.4806,694.58932,884.8428,385.49132,911.99596,786.7015,515.96117,890.57908,852.66508
ENSG00000167941,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2
ENSG00000116954,497.872,144,654.59,291.471,577.7,492.409,487.853,595.9,428.181,391.461,602.781,427.551,574.079,481.701,913.172
ENSG00000076201,2565.98326,1935.36499,3384.9878,1659.0047,4329.38654,3541.10009,2937.517,1986.906,3130.32904,1431.00674,2218.14948,2217.79423,2912.94159,3447.02971,3866.92275
ENSG00000090776,1483,363,1337,798,1723,1508,1146,1196,1286,913.101,1021.12,955,584,1170,1716
ENSG00000213246,833.5891,156.91132,725.9819,476.77479,643.05075,322.976,906.4667,678.39337,579.71352,350.64377,319.09132,336.29534,618.5147,469.5246,738.34939
ENSG00000167733,46.434029,20.3563,28.78616044,22.081326,71.6787,42.50942009,48.28761993,7.84535,42.01964,17.99998,28.19476,14.78873,22.52782,51.31284855,27.61888338
ENSG00000212127,197.738,8.33333,86.9174,103.333,48.8952,41,62.6667,91.8464,62.6667,43.6667,86.9269,90.8421,36,78,90.2629
ENSG00000095059,917.02026,315.63355,705.25047,634.56362,851.04415,624.69286,711.46767,572.1532495,681.15771,385.03596,403.52299,790.16833,634.98593,618.53561,611.30824
ENSG00000135446,2086.0571,1259.63133,3397.8955,1155.9571,2042.435,1516.7521,2369.5579,2006.21546,1787.191,926.51898,1905.1541,1580.9704,1341.649988,1435.5449,1980.5172
ENSG00000173338,23.99998,11,8,6.000000034,12,14,12,12.000023,12.0000051,14.99997,19,9.000003,27,10,15
ENSG00000148841,287.9995,160,230.0001,96,218.9997,370.0003,208.9996,303,364.9997,145,600,222.9997,127,266.9999,561
ENSG00000158717,275.4027,228.17862,286.6637,188.84599,386.88254,306.03566,204.2999,231.78534,265.2747,160.50213,268.60848,236.0951,243.9278,459.72374,376.3716
ENSG00000148019,541.083,207.8189,777.8209129,506.1823,762.507,453.93984,457.15452,685.9166,471.03213,238.6278,756.82293,836.8907,571.302608,553.94367,608.4249
ENSG00000100028,1266.099,246.8058,1322.088,515.02,1335.416,612.588,832.784,864.71,640.964,638.151,822.483,967.401,879.898,692.1698,1089.896
ENSG00000147432,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
ENSG00000255633,19.8365,4.67826,15.8818,13.4015,7.73007,8.99384,6.52233,11.4484,15.2671,21.8996,26.5948,13.7307,11.2251,5.76184,7.67942
ENSG00000177030,733.3635,270.4455,364.4249,424.76268,928.1604,492.04894,690.4038,312.66868,463.29099,314.68295,472.906,495.202,379.7368,599.823,488.3184
ENSG00000103671,543.902,76.8,656.173,475.167,497.019,402.865,505.882,703.898,521.931,328.174,447.927,496.681,518.662,525.727,697.737
ENSG00000177409,1860.73537,221.6528454,1966.00621,2066.9427,495.0000075,1244.87869,1083.0021,1816.00909,2466.940121,509.0046232,2615.999,4117.812174,1423.02097,3105.009807,2717.82247
